CPT,UTIL,UTIL,UTIL,UTIL,UTIL,,Instructions
,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,QB,Parker Leise (31249573),Parker Leise,31249573,UTIL,6000,FSU@UF 11/25/2023 07:00PM ET,UF,0
,,,,,,,K,Trey Smack (31249660),Trey Smack,31249660,CPT,6000,FSU@UF 11/25/2023 07:00PM ET,UF,8.1
,,,,,,,K,Adam Mihalek (31249661),Adam Mihalek,31249661,CPT,6000,FSU@UF 11/25/2023 07:00PM ET,UF,2.33
,,,,,,,WR,Jaheim Bell (31249574),Jaheim Bell,31249574,UTIL,5400,FSU@UF 11/25/2023 07:00PM ET,FSU,11.19
,,,,,,,WR,Preston Daniel (31249662),Preston Daniel,31249662,CPT,5400,FSU@UF 11/25/2023 07:00PM ET,FSU,7.4
,,,,,,,WR,Caleb Douglas (31249575),Caleb Douglas,31249575,UTIL,5000,FSU@UF 11/25/2023 07:00PM ET,UF,7.32
,,,,,,,RB,Lawrance Toafili (31249576),Lawrance Toafili,31249576,UTIL,4800,FSU@UF 11/25/2023 07:00PM ET,FSU,8.43
,,,,,,,WR,Arlis Boardingham (31249663),Arlis Boardingham,31249663,CPT,4800,FSU@UF 11/25/2023 07:00PM ET,UF,8.74
,,,,,,,WR,Ja'Khi Douglas (31249664),Ja'Khi Douglas,31249664,CPT,4500,FSU@UF 11/25/2023 07:00PM ET,FSU,12
,,,,,,,K,Ryan Fitzgerald (31249577),Ryan Fitzgerald,31249577,UTIL,4400,FSU@UF 11/25/2023 07:00PM ET,FSU,9
,,,,,,,K,Tyler Keltner (31249578),Tyler Keltner,31249578,UTIL,4400,FSU@UF 11/25/2023 07:00PM ET,FSU,1
,,,,,,,K,Max Larson (31249579),Max Larson,31249579,UTIL,4400,FSU@UF 11/25/2023 07:00PM ET,FSU,0
,,,,,,,WR,Destyn Hill (31249665),Destyn Hill,31249665,CPT,4200,FSU@UF 11/25/2023 07:00PM ET,FSU,3.68
,,,,,,,K,Trey Smack (31249580),Trey Smack,31249580,UTIL,4000,FSU@UF 11/25/2023 07:00PM ET,UF,8.1
,,,,,,,K,Adam Mihalek (31249581),Adam Mihalek,31249581,UTIL,4000,FSU@UF 11/25/2023 07:00PM ET,UF,2.33
,,,,,,,WR,Preston Daniel (31249582),Preston Daniel,31249582,UTIL,3600,FSU@UF 11/25/2023 07:00PM ET,FSU,7.4
,,,,,,,WR,Markeston Douglas (31249666),Markeston Douglas,31249666,CPT,3600,FSU@UF 11/25/2023 07:00PM ET,FSU,6.1
,,,,,,,WR,Hykeem Williams (31249667),Hykeem Williams,31249667,CPT,3300,FSU@UF 11/25/2023 07:00PM ET,FSU,5.7
,,,,,,,WR,Arlis Boardingham (31249583),Arlis Boardingham,31249583,UTIL,3200,FSU@UF 11/25/2023 07:00PM ET,UF,8.74
,,,,,,,WR,Ja'Khi Douglas (31249584),Ja'Khi Douglas,31249584,UTIL,3000,FSU@UF 11/25/2023 07:00PM ET,FSU,12
,,,,,,,WR,Thai Chiaokhiao-Bowman (31249668),Thai Chiaokhiao-Bowman,31249668,CPT,3000,FSU@UF 11/25/2023 07:00PM ET,UF,0
,,,,,,,WR,Destyn Hill (31249585),Destyn Hill,31249585,UTIL,2800,FSU@UF 11/25/2023 07:00PM ET,FSU,3.68
,,,,,,,WR,Deuce Spann (31249669),Deuce Spann,31249669,CPT,2700,FSU@UF 11/25/2023 07:00PM ET,FSU,1.95
,,,,,,,WR,Markeston Douglas (31249586),Markeston Douglas,31249586,UTIL,2400,FSU@UF 11/25/2023 07:00PM ET,FSU,6.1
,,,,,,,RB,Treyaun Webb (31249670),Treyaun Webb,31249670,CPT,2400,FSU@UF 11/25/2023 07:00PM ET,UF,5.68
,,,,,,,WR,Kahleil Jackson (31249671),Kahleil Jackson,31249671,CPT,2400,FSU@UF 11/25/2023 07:00PM ET,UF,5.46
,,,,,,,WR,Hykeem Williams (31249587),Hykeem Williams,31249587,UTIL,2200,FSU@UF 11/25/2023 07:00PM ET,FSU,5.7
,,,,,,,WR,Marcus Burke (31249672),Marcus Burke,31249672,CPT,2100,FSU@UF 11/25/2023 07:00PM ET,UF,3.95
,,,,,,,RB,Rodney Hill (31249673),Rodney Hill,31249673,CPT,2100,FSU@UF 11/25/2023 07:00PM ET,FSU,3.93
,,,,,,,WR,Andy Jean (31249674),Andy Jean,31249674,CPT,2100,FSU@UF 11/25/2023 07:00PM ET,UF,5.07
,,,,,,,WR,Kyle Morlock (31249675),Kyle Morlock,31249675,CPT,2100,FSU@UF 11/25/2023 07:00PM ET,FSU,4.45
,,,,,,,WR,Thai Chiaokhiao-Bowman (31249588),Thai Chiaokhiao-Bowman,31249588,UTIL,2000,FSU@UF 11/25/2023 07:00PM ET,UF,0
,,,,,,,WR,Deuce Spann (31249589),Deuce Spann,31249589,UTIL,1800,FSU@UF 11/25/2023 07:00PM ET,FSU,1.95
,,,,,,,WR,Vandrevius Jacobs (31249676),Vandrevius Jacobs,31249676,CPT,1800,FSU@UF 11/25/2023 07:00PM ET,FSU,5
,,,,,,,WR,Hayden Hansen (31249677),Hayden Hansen,31249677,CPT,1800,FSU@UF 11/25/2023 07:00PM ET,UF,4.7
,,,,,,,WR,Kentron Poitier (31249678),Kentron Poitier,31249678,CPT,1800,FSU@UF 11/25/2023 07:00PM ET,FSU,3.6
,,,,,,,RB,Caziah Holmes (31249679),Caziah Holmes,31249679,CPT,1800,FSU@UF 11/25/2023 07:00PM ET,FSU,7.03
,,,,,,,WR,Aidan Mizell (31249680),Aidan Mizell,31249680,CPT,1800,FSU@UF 11/25/2023 07:00PM ET,UF,4.5
,,,,,,,RB,Treyaun Webb (31249590),Treyaun Webb,31249590,UTIL,1600,FSU@UF 11/25/2023 07:00PM ET,UF,5.68
,,,,,,,WR,Kahleil Jackson (31249591),Kahleil Jackson,31249591,UTIL,1600,FSU@UF 11/25/2023 07:00PM ET,UF,5.46
,,,,,,,WR,Ja'Quavion Fraziars (31249681),Ja'Quavion Fraziars,31249681,CPT,1500,FSU@UF 11/25/2023 07:00PM ET,UF,2.1
,,,,,,,WR,Keon Zipperer (31249682),Keon Zipperer,31249682,CPT,1500,FSU@UF 11/25/2023 07:00PM ET,UF,0
,,,,,,,WR,Jeremiah Giedrys (31249683),Jeremiah Giedrys,31249683,CPT,1500,FSU@UF 11/25/2023 07:00PM ET,FSU,0
